年,アーティスト名
2000,THE JON SPENCER BLUES EXPLOSION
2000,GREEN DAY
2001,BECK
2001,MARILYN MANSON
2002,GUNS N’ ROSES
2002,THE OFFSPRING
2003,BLUR
2003,RADIOHEAD
2004,GREEN DAY
2004,BEASTIE BOYS
2005,NINE INCH NAILS
2005,OASIS
2006,METALLICA
2006,LINKIN PARK
2007,BLACK EYED PEAS
2007,ARCTIC MONKEYS
2008,the verve
2008,COLDPLAY
2009,MY CHEMICAL ROMANCE
2009,LINKIN PARK
2009,BEYONCE
2010,JAY-Z
2010,STEVIE WONDER
2011,THE STROKES
2011,RED HOT CHILI PEPPERS
2012,GREEN DAY
2012,RIHANNA
2013,METALLICA
2013,MUSE
2014,ARCTIC MONKEYS
2014,QUEEN + Adam Lambert
2015,THE CHEMICAL BROTHERS
2015,PHARRELL WILLIAMS
2016,UNDERWORLD
2016,RADIOHEAD
2017,CALVIN HARRIS
2017,FOO FIGHTERS
2018,NOEL GALLAGHER’S HIGH FLYING BIRDS
2018,BECK
2019,B’z
2019,RED HOT CHILI PEPPERS
2019,THE CHAINSMOKERS
2020,,
2020,,
2021,,
2021,,
2022,THE 1975
2022,POST MALONE
2023,BLUR
2023,KENDRICK LAMAR
2024,MÅNESKIN
2024,BRING ME THE HORIZON
2025,FALL OUT BOY
2025,ALICIA KEYS
